date,channel,device,sessions,product_views,add_to_cart,checkout_started,purchased
2024-01-10,Email/Organic,Desktop,44,25,11,6,5
2024-01-10,Email/Organic,Mobile,69,40,16,10,7
2024-01-10,Email/Organic,Tablet,10,6,2,2,2
2024-01-10,Google Brand,Desktop,1,1,0,0,0
2024-01-10,Google Brand,Mobile,2,1,1,1,1
2024-01-10,Google Brand,Tablet,0,0,0,0,0
2024-01-10,Google Shopping,Desktop,7,5,2,1,1
2024-01-10,Google Shopping,Mobile,14,8,4,3,2
2024-01-10,Google Shopping,Tablet,2,1,0,0,0
2024-01-10,Meta Prospecting,Desktop,36,20,7,5,3
2024-01-10,Meta Prospecting,Mobile,115,64,21,15,6
2024-01-10,Meta Prospecting,Tablet,4,2,1,1,0
2024-01-10,Meta Retargeting,Desktop,12,7,3,2,2
2024-01-10,Meta Retargeting,Mobile,29,17,7,5,3
2024-01-10,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-10,Referral,Desktop,21,11,4,2,2
2024-01-10,Referral,Mobile,36,19,7,4,2
2024-01-10,Referral,Tablet,5,2,1,1,1
2024-01-10,TikTok,Desktop,16,10,4,3,2
2024-01-10,TikTok,Mobile,56,36,14,8,5
2024-01-10,TikTok,Tablet,2,1,0,0,0
2024-01-11,Email/Organic,Desktop,32,20,6,3,3
2024-01-11,Email/Organic,Mobile,49,32,10,6,4
2024-01-11,Email/Organic,Tablet,7,5,1,1,1
2024-01-11,Google Brand,Desktop,6,2,1,1,1
2024-01-11,Google Brand,Mobile,9,4,2,1,1
2024-01-11,Google Brand,Tablet,1,1,0,0,0
2024-01-11,Google Shopping,Desktop,20,10,4,2,2
2024-01-11,Google Shopping,Mobile,37,19,6,4,2
2024-01-11,Google Shopping,Tablet,4,2,1,1,1
2024-01-11,Meta Prospecting,Desktop,43,23,8,5,3
2024-01-11,Meta Prospecting,Mobile,136,74,27,17,7
2024-01-11,Meta Prospecting,Tablet,5,3,1,1,0
2024-01-11,Meta Retargeting,Desktop,1,1,0,0,0
2024-01-11,Meta Retargeting,Mobile,2,1,1,1,1
2024-01-11,Meta Retargeting,Tablet,0,0,0,0,0
2024-01-11,Referral,Desktop,5,3,1,1,1
2024-01-11,Referral,Mobile,8,5,2,1,1
2024-01-11,Referral,Tablet,1,0,0,0,0
2024-01-11,TikTok,Desktop,7,4,2,1,1
2024-01-11,TikTok,Mobile,24,14,6,4,2
2024-01-11,TikTok,Tablet,1,0,0,0,0
2024-01-12,Email/Organic,Desktop,45,21,9,6,5
2024-01-12,Email/Organic,Mobile,70,33,13,9,6
2024-01-12,Email/Organic,Tablet,10,5,2,1,1
2024-01-12,Google Brand,Desktop,2,1,0,0,0
2024-01-12,Google Brand,Mobile,3,2,1,1,1
2024-01-12,Google Brand,Tablet,1,0,0,0,0
2024-01-12,Google Shopping,Desktop,45,30,10,6,4
2024-01-12,Google Shopping,Mobile,81,55,19,12,6
2024-01-12,Google Shopping,Tablet,9,6,2,1,1
2024-01-12,Meta Prospecting,Desktop,72,39,15,10,5
2024-01-12,Meta Prospecting,Mobile,231,124,48,33,12
2024-01-12,Meta Prospecting,Tablet,9,5,2,1,0
2024-01-12,Meta Retargeting,Desktop,16,9,4,3,3
2024-01-12,Meta Retargeting,Mobile,40,22,9,6,4
2024-01-12,Meta Retargeting,Tablet,3,2,1,0,0
2024-01-12,Referral,Desktop,19,11,4,3,3
2024-01-12,Referral,Mobile,31,18,8,5,3
2024-01-12,Referral,Tablet,4,2,1,0,0
2024-01-12,TikTok,Desktop,20,9,3,2,1
2024-01-12,TikTok,Mobile,70,31,10,7,4
2024-01-12,TikTok,Tablet,2,1,0,0,0
2024-01-13,Email/Organic,Desktop,48,23,7,5,5
2024-01-13,Email/Organic,Mobile,76,37,11,9,6
2024-01-13,Email/Organic,Tablet,11,5,2,1,1
2024-01-13,Google Brand,Desktop,21,12,4,2,2
2024-01-13,Google Brand,Mobile,31,18,6,4,3
2024-01-13,Google Brand,Tablet,5,3,1,1,1
2024-01-13,Google Shopping,Desktop,10,7,3,2,2
2024-01-13,Google Shopping,Mobile,18,12,5,3,2
2024-01-13,Google Shopping,Tablet,2,1,0,0,0
2024-01-13,Meta Prospecting,Desktop,34,19,6,4,2
2024-01-13,Meta Prospecting,Mobile,109,59,21,14,6
2024-01-13,Meta Prospecting,Tablet,4,2,1,1,1
2024-01-13,Meta Retargeting,Desktop,9,6,2,1,1
2024-01-13,Meta Retargeting,Mobile,22,14,6,4,3
2024-01-13,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-13,Referral,Desktop,7,4,2,1,1
2024-01-13,Referral,Mobile,13,6,2,2,2
2024-01-13,Referral,Tablet,2,1,0,0,0
2024-01-13,TikTok,Desktop,13,8,3,2,2
2024-01-13,TikTok,Mobile,44,28,10,6,3
2024-01-13,TikTok,Tablet,1,1,0,0,0
2024-01-14,Email/Organic,Desktop,29,15,7,3,3
2024-01-14,Email/Organic,Mobile,45,24,11,6,4
2024-01-14,Email/Organic,Tablet,7,3,1,1,1
2024-01-14,Google Brand,Desktop,14,7,2,2,2
2024-01-14,Google Brand,Mobile,21,11,4,3,2
2024-01-14,Google Brand,Tablet,3,2,1,0,0
2024-01-14,Google Shopping,Desktop,19,10,4,3,3
2024-01-14,Google Shopping,Mobile,34,19,7,5,3
2024-01-14,Google Shopping,Tablet,4,2,1,0,0
2024-01-14,Meta Prospecting,Desktop,48,26,11,7,4
2024-01-14,Meta Prospecting,Mobile,152,82,34,23,10
2024-01-14,Meta Prospecting,Tablet,6,3,1,1,0
2024-01-14,Meta Retargeting,Desktop,9,5,2,1,1
2024-01-14,Meta Retargeting,Mobile,23,12,5,3,2
2024-01-14,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-14,Referral,Desktop,25,13,6,3,3
2024-01-14,Referral,Mobile,42,23,9,6,4
2024-01-14,Referral,Tablet,6,3,1,1,1
2024-01-14,TikTok,Desktop,5,3,1,1,1
2024-01-14,TikTok,Mobile,18,9,3,2,1
2024-01-14,TikTok,Tablet,1,0,0,0,0
2024-01-15,Email/Organic,Desktop,30,15,7,5,5
2024-01-15,Email/Organic,Mobile,46,23,11,7,5
2024-01-15,Email/Organic,Tablet,7,3,1,1,1
2024-01-15,Google Brand,Desktop,12,7,3,2,2
2024-01-15,Google Brand,Mobile,18,11,4,3,2
2024-01-15,Google Brand,Tablet,3,2,1,0,0
2024-01-15,Google Shopping,Desktop,5,3,1,1,1
2024-01-15,Google Shopping,Mobile,9,6,3,2,1
2024-01-15,Google Shopping,Tablet,1,1,0,0,0
2024-01-15,Meta Prospecting,Desktop,33,18,6,4,2
2024-01-15,Meta Prospecting,Mobile,104,56,21,14,6
2024-01-15,Meta Prospecting,Tablet,4,2,1,1,1
2024-01-15,Meta Retargeting,Desktop,22,12,5,3,2
2024-01-15,Meta Retargeting,Mobile,55,29,12,8,5
2024-01-15,Meta Retargeting,Tablet,4,2,1,1,1
2024-01-15,Referral,Desktop,27,16,6,3,3
2024-01-15,Referral,Mobile,45,26,9,5,3
2024-01-15,Referral,Tablet,6,3,1,1,1
2024-01-15,TikTok,Desktop,4,2,1,1,1
2024-01-15,TikTok,Mobile,15,8,3,2,1
2024-01-15,TikTok,Tablet,0,0,0,0,0
2024-01-16,Email/Organic,Desktop,30,15,5,3,3
2024-01-16,Email/Organic,Mobile,47,24,9,6,4
2024-01-16,Email/Organic,Tablet,7,4,1,1,1
2024-01-16,Google Brand,Desktop,22,12,5,3,3
2024-01-16,Google Brand,Mobile,32,18,8,5,3
2024-01-16,Google Brand,Tablet,5,3,1,1,1
2024-01-16,Google Shopping,Desktop,10,5,2,1,1
2024-01-16,Google Shopping,Mobile,17,9,4,3,2
2024-01-16,Google Shopping,Tablet,2,1,0,0,0
2024-01-16,Meta Prospecting,Desktop,31,17,7,4,2
2024-01-16,Meta Prospecting,Mobile,100,56,21,13,6
2024-01-16,Meta Prospecting,Tablet,4,2,1,1,1
2024-01-16,Meta Retargeting,Desktop,11,7,3,2,2
2024-01-16,Meta Retargeting,Mobile,29,17,7,4,3
2024-01-16,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-16,Referral,Desktop,7,4,2,1,1
2024-01-16,Referral,Mobile,13,6,2,2,2
2024-01-16,Referral,Tablet,2,1,0,0,0
2024-01-16,TikTok,Desktop,17,8,3,2,2
2024-01-16,TikTok,Mobile,61,30,9,6,3
2024-01-16,TikTok,Tablet,2,1,0,0,0
2024-01-17,Email/Organic,Desktop,37,19,6,3,3
2024-01-17,Email/Organic,Mobile,58,29,10,6,4
2024-01-17,Email/Organic,Tablet,8,4,1,1,1
2024-01-17,Google Brand,Desktop,1,1,0,0,0
2024-01-17,Google Brand,Mobile,2,1,1,1,1
2024-01-17,Google Brand,Tablet,0,0,0,0,0
2024-01-17,Google Shopping,Desktop,27,16,6,4,3
2024-01-17,Google Shopping,Mobile,49,30,11,7,5
2024-01-17,Google Shopping,Tablet,6,4,1,1,1
2024-01-17,Meta Prospecting,Desktop,38,20,7,4,2
2024-01-17,Meta Prospecting,Mobile,120,63,22,13,6
2024-01-17,Meta Prospecting,Tablet,4,2,1,1,1
2024-01-17,Meta Retargeting,Desktop,11,7,2,1,1
2024-01-17,Meta Retargeting,Mobile,28,16,6,4,3
2024-01-17,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-17,Referral,Desktop,5,3,2,1,1
2024-01-17,Referral,Mobile,8,5,2,2,2
2024-01-17,Referral,Tablet,1,0,0,0,0
2024-01-17,TikTok,Desktop,25,14,5,3,2
2024-01-17,TikTok,Mobile,89,49,17,11,6
2024-01-17,TikTok,Tablet,3,2,1,0,0
2024-01-18,Email/Organic,Desktop,46,25,9,6,5
2024-01-18,Email/Organic,Mobile,71,40,15,9,6
2024-01-18,Email/Organic,Tablet,10,6,2,1,1
2024-01-18,Google Brand,Desktop,9,6,2,2,2
2024-01-18,Google Brand,Mobile,12,8,3,2,1
2024-01-18,Google Brand,Tablet,2,1,1,0,0
2024-01-18,Google Shopping,Desktop,27,16,7,5,4
2024-01-18,Google Shopping,Mobile,48,30,13,8,4
2024-01-18,Google Shopping,Tablet,6,4,1,1,1
2024-01-18,Meta Prospecting,Desktop,21,13,5,4,3
2024-01-18,Meta Prospecting,Mobile,68,41,15,11,5
2024-01-18,Meta Prospecting,Tablet,3,2,1,0,0
2024-01-18,Meta Retargeting,Desktop,34,17,6,3,3
2024-01-18,Meta Retargeting,Mobile,84,41,15,9,6
2024-01-18,Meta Retargeting,Tablet,6,3,1,1,1
2024-01-18,Referral,Desktop,23,11,5,3,3
2024-01-18,Referral,Mobile,40,19,8,5,3
2024-01-18,Referral,Tablet,5,2,1,1,1
2024-01-18,TikTok,Desktop,18,11,4,3,2
2024-01-18,TikTok,Mobile,61,37,15,9,4
2024-01-18,TikTok,Tablet,2,1,0,0,0
2024-01-19,Email/Organic,Desktop,21,13,5,3,3
2024-01-19,Email/Organic,Mobile,34,21,9,5,3
2024-01-19,Email/Organic,Tablet,5,3,1,1,1
2024-01-19,Google Brand,Desktop,3,2,1,1,1
2024-01-19,Google Brand,Mobile,5,3,1,1,1
2024-01-19,Google Brand,Tablet,1,0,0,0,0
2024-01-19,Google Shopping,Desktop,12,7,3,2,2
2024-01-19,Google Shopping,Mobile,23,13,5,3,2
2024-01-19,Google Shopping,Tablet,3,1,0,0,0
2024-01-19,Meta Prospecting,Desktop,27,13,5,4,2
2024-01-19,Meta Prospecting,Mobile,84,42,17,11,5
2024-01-19,Meta Prospecting,Tablet,3,2,1,0,0
2024-01-19,Meta Retargeting,Desktop,4,3,1,1,1
2024-01-19,Meta Retargeting,Mobile,11,6,3,2,1
2024-01-19,Meta Retargeting,Tablet,1,0,0,0,0
2024-01-19,Referral,Desktop,13,6,2,2,2
2024-01-19,Referral,Mobile,22,11,4,3,2
2024-01-19,Referral,Tablet,3,1,1,0,0
2024-01-19,TikTok,Desktop,1,0,0,0,0
2024-01-19,TikTok,Mobile,3,2,1,1,1
2024-01-19,TikTok,Tablet,0,0,0,0,0
2024-01-20,Email/Organic,Desktop,6,3,2,1,1
2024-01-20,Email/Organic,Mobile,9,5,2,2,2
2024-01-20,Email/Organic,Tablet,1,1,0,0,0
2024-01-20,Google Brand,Desktop,21,10,4,2,2
2024-01-20,Google Brand,Mobile,30,15,6,4,3
2024-01-20,Google Brand,Tablet,5,2,1,1,1
2024-01-20,Google Shopping,Desktop,20,10,4,2,2
2024-01-20,Google Shopping,Mobile,36,19,6,4,2
2024-01-20,Google Shopping,Tablet,4,2,1,1,1
2024-01-20,Meta Prospecting,Desktop,15,8,3,2,1
2024-01-20,Meta Prospecting,Mobile,47,25,10,7,3
2024-01-20,Meta Prospecting,Tablet,2,1,1,0,0
2024-01-20,Meta Retargeting,Desktop,27,11,4,3,2
2024-01-20,Meta Retargeting,Mobile,66,29,11,7,5
2024-01-20,Meta Retargeting,Tablet,4,2,1,1,1
2024-01-20,Referral,Desktop,15,8,3,2,2
2024-01-20,Referral,Mobile,25,13,6,4,3
2024-01-20,Referral,Tablet,3,2,1,0,0
2024-01-20,TikTok,Desktop,5,3,1,1,1
2024-01-20,TikTok,Mobile,18,12,5,3,1
2024-01-20,TikTok,Tablet,1,0,0,0,0
2024-01-21,Email/Organic,Desktop,48,25,9,5,4
2024-01-21,Email/Organic,Mobile,75,38,15,8,6
2024-01-21,Email/Organic,Tablet,11,6,2,1,1
2024-01-21,Google Brand,Desktop,18,10,4,2,2
2024-01-21,Google Brand,Mobile,25,15,5,3,2
2024-01-21,Google Brand,Tablet,4,2,1,1,1
2024-01-21,Google Shopping,Desktop,13,7,3,2,2
2024-01-21,Google Shopping,Mobile,23,13,5,4,2
2024-01-21,Google Shopping,Tablet,3,2,1,0,0
2024-01-21,Meta Prospecting,Desktop,39,19,6,4,3
2024-01-21,Meta Prospecting,Mobile,125,60,21,14,7
2024-01-21,Meta Prospecting,Tablet,5,2,1,1,1
2024-01-21,Meta Retargeting,Desktop,9,5,2,1,1
2024-01-21,Meta Retargeting,Mobile,22,12,5,4,3
2024-01-21,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-21,Referral,Desktop,12,8,3,2,2
2024-01-21,Referral,Mobile,20,14,6,4,3
2024-01-21,Referral,Tablet,3,2,1,1,1
2024-01-21,TikTok,Desktop,18,11,4,3,2
2024-01-21,TikTok,Mobile,65,38,15,9,5
2024-01-21,TikTok,Tablet,2,1,0,0,0
2024-01-22,Email/Organic,Desktop,55,29,10,6,6
2024-01-22,Email/Organic,Mobile,87,46,15,9,6
2024-01-22,Email/Organic,Tablet,13,7,2,1,1
2024-01-22,Google Brand,Desktop,24,13,4,2,2
2024-01-22,Google Brand,Mobile,36,18,6,4,2
2024-01-22,Google Brand,Tablet,6,3,1,1,1
2024-01-22,Google Shopping,Desktop,16,7,3,2,2
2024-01-22,Google Shopping,Mobile,29,14,5,4,2
2024-01-22,Google Shopping,Tablet,3,2,0,0,0
2024-01-22,Meta Prospecting,Desktop,39,20,7,4,2
2024-01-22,Meta Prospecting,Mobile,124,64,24,14,6
2024-01-22,Meta Prospecting,Tablet,5,3,1,1,0
2024-01-22,Meta Retargeting,Desktop,14,7,3,2,2
2024-01-22,Meta Retargeting,Mobile,35,18,6,4,3
2024-01-22,Meta Retargeting,Tablet,2,1,0,0,0
2024-01-22,Referral,Desktop,1,1,0,0,0
2024-01-22,Referral,Mobile,2,1,1,1,1
2024-01-22,Referral,Tablet,0,0,0,0,0
2024-01-22,TikTok,Desktop,4,3,1,1,1
2024-01-22,TikTok,Mobile,15,9,4,2,1
2024-01-22,TikTok,Tablet,1,0,0,0,0
2024-01-23,Email/Organic,Desktop,8,5,2,1,1
2024-01-23,Email/Organic,Mobile,12,8,3,2,2
2024-01-23,Email/Organic,Tablet,2,1,0,0,0
2024-01-23,Google Brand,Desktop,19,10,4,2,2
2024-01-23,Google Brand,Mobile,27,15,6,4,3
2024-01-23,Google Brand,Tablet,4,2,1,1,1
2024-01-23,Google Shopping,Desktop,16,9,3,2,2
2024-01-23,Google Shopping,Mobile,30,16,5,4,2
2024-01-23,Google Shopping,Tablet,4,2,1,0,0
2024-01-23,Meta Prospecting,Desktop,22,12,4,3,2
2024-01-23,Meta Prospecting,Mobile,70,38,14,9,4
2024-01-23,Meta Prospecting,Tablet,3,1,1,0,0
2024-01-23,Meta Retargeting,Desktop,6,3,1,1,1
2024-01-23,Meta Retargeting,Mobile,16,8,4,2,1
2024-01-23,Meta Retargeting,Tablet,1,1,0,0,0
2024-01-23,Referral,Desktop,17,11,4,3,3
2024-01-23,Referral,Mobile,28,19,8,5,3
2024-01-23,Referral,Tablet,4,3,1,1,1
2024-01-23,TikTok,Desktop,8,5,2,1,1
2024-01-23,TikTok,Mobile,29,19,7,5,3
2024-01-23,TikTok,Tablet,1,1,0,0,0
2024-01-24,Email/Organic,Desktop,35,17,7,5,4
2024-01-24,Email/Organic,Mobile,54,27,12,8,5
