date,channel,spend,impressions,clicks,new_customers
2024-01-07,Referral,7.88,780,39,3
2024-01-07,TikTok,95.91,15222,137,6
2024-01-08,Email/Organic,9.15,4575,183,7
2024-01-08,Google Brand,122.38,2537,203,5
2024-01-08,Google Shopping,27.91,833,25,1
2024-01-08,Meta Prospecting,211.27,19500,234,12
2024-01-08,Meta Retargeting,230.48,8045,177,8
2024-01-08,Referral,5.39,520,26,2
2024-01-08,TikTok,68.0,10777,97,4
2024-01-09,Email/Organic,10.17,5075,203,7
2024-01-09,Google Brand,53.72,1112,89,2
2024-01-09,Google Shopping,124.41,3766,113,4
2024-01-09,Meta Prospecting,102.59,9416,113,6
2024-01-09,Meta Retargeting,156.57,5454,120,6
2024-01-09,Referral,23.13,2300,115,6
2024-01-09,TikTok,168.18,26666,240,8
2024-01-10,Email/Organic,17.05,8525,341,13
2024-01-10,Google Shopping,88.62,2666,80,3
2024-01-10,Meta Prospecting,134.11,12416,149,8
2024-01-10,Meta Retargeting,131.33,4590,101,5
2024-01-10,Referral,16.83,1680,84,5
2024-01-10,TikTok,150.51,23888,215,7
2024-01-11,Email/Organic,8.98,4475,179,7
2024-01-11,Google Brand,61.08,1262,101,2
2024-01-11,Google Shopping,124.89,3766,113,4
2024-01-11,Meta Prospecting,166.55,15416,185,10
2024-01-11,Meta Retargeting,38.48,1318,29,1
2024-01-11,Referral,3.81,380,19,1
2024-01-11,TikTok,50.26,7888,71,3
2024-01-12,Email/Organic,13.57,6775,271,10
2024-01-12,Google Brand,23.44,487,39,1
2024-01-12,Google Shopping,263.68,7966,239,9
2024-01-12,Meta Prospecting,280.35,25916,311,16
2024-01-12,Meta Retargeting,203.74,7090,156,7
2024-01-12,Referral,18.52,1840,92,6
2024-01-12,TikTok,79.03,12444,112,5
2024-01-13,Email/Organic,15.93,7950,318,11
2024-01-13,Google Brand,108.27,2250,180,5
2024-01-13,Google Shopping,104.15,3133,94,4
2024-01-13,Meta Prospecting,141.16,13000,156,8
2024-01-13,Meta Retargeting,80.85,2818,62,3
2024-01-13,Referral,8.62,860,43,3
2024-01-13,TikTok,89.37,14111,127,4
2024-01-14,Email/Organic,7.62,3800,152,6
2024-01-14,Google Brand,92.09,1912,153,4
2024-01-14,Google Shopping,154.42,4666,140,5
2024-01-14,Meta Prospecting,235.77,21750,261,14
2024-01-14,Meta Retargeting,72.45,2500,55,3
2024-01-14,Referral,18.87,1880,94,5
2024-01-14,TikTok,35.62,5555,50,2
2024-01-15,Email/Organic,15.09,7525,301,10
2024-01-15,Google Brand,65.83,1362,109,4
2024-01-15,Google Shopping,78.11,2366,71,2
2024-01-15,Meta Prospecting,163.53,15083,181,8
2024-01-15,Meta Retargeting,186.69,6500,143,7
2024-01-15,Referral,22.71,2260,113,6
2024-01-15,TikTok,40.43,6333,57,2
2024-01-16,Email/Organic,7.21,3600,144,6
2024-01-16,Google Brand,124.6,2587,207,6
2024-01-16,Google Shopping,97.71,2933,88,3
2024-01-16,Meta Prospecting,161.01,14833,178,8
2024-01-16,Meta Retargeting,133.39,4636,102,5
2024-01-16,Referral,9.04,900,45,3
2024-01-16,TikTok,102.39,16222,146,5
2024-01-17,Email/Organic,7.62,3800,152,5
2024-01-17,Google Brand,23.95,487,39,1
2024-01-17,Google Shopping,262.62,7933,238,9
2024-01-17,Meta Prospecting,181.54,16750,201,9
2024-01-17,Meta Retargeting,95.18,3318,73,4
2024-01-17,Referral,11.25,1120,56,3
2024-01-17,TikTok,187.29,29666,267,8
2024-01-18,Email/Organic,10.62,5300,212,8
2024-01-18,Google Brand,37.39,775,62,2
2024-01-18,Google Shopping,211.24,6400,192,6
2024-01-18,Meta Prospecting,134.22,12416,149,8
2024-01-18,Meta Retargeting,240.58,8409,185,9
2024-01-18,Referral,20.79,2060,103,6
2024-01-18,TikTok,125.06,19777,178,6
2024-01-19,Email/Organic,9.15,4575,183,7
2024-01-19,Google Brand,44.8,925,74,2
2024-01-19,Google Shopping,123.33,3733,112,4
2024-01-19,Meta Prospecting,120.62,11166,134,7
2024-01-19,Meta Retargeting,43.16,1500,33,2
2024-01-19,Referral,7.79,760,38,3
2024-01-19,TikTok,26.98,4222,38,1
2024-01-20,Email/Organic,2.61,1300,52,2
2024-01-20,Google Brand,120.59,2500,200,5
2024-01-20,Google Shopping,131.3,3966,119,5
2024-01-20,Meta Prospecting,79.45,7333,88,4
2024-01-20,Meta Retargeting,190.19,6636,146,7
2024-01-20,Referral,13.33,1320,66,4
2024-01-20,TikTok,37.04,5777,52,2
2024-01-21,Email/Organic,11.09,5525,221,9
2024-01-21,Google Brand,81.12,1687,135,4
2024-01-21,Google Shopping,97.81,2933,88,3
2024-01-21,Meta Prospecting,198.09,18333,220,11
2024-01-21,Meta Retargeting,112.79,3909,86,4
2024-01-21,Referral,14.7,1460,73,4
2024-01-21,TikTok,122.11,19333,174,6
2024-01-22,Email/Organic,9.42,4700,188,7
2024-01-22,Google Brand,102.77,2137,171,5
2024-01-22,Google Shopping,120.47,3633,109,4
2024-01-22,Meta Prospecting,152.54,14083,169,8
2024-01-22,Meta Retargeting,149.47,5181,114,5
2024-01-22,Referral,3.36,320,16,1
2024-01-22,TikTok,44.1,7000,63,2
2024-01-23,Email/Organic,4.33,2150,86,3
2024-01-23,Google Brand,81.34,1687,135,3
2024-01-23,Google Shopping,102.9,3100,93,3
2024-01-23,Meta Prospecting,101.38,9333,112,6
2024-01-23,Meta Retargeting,52.74,1818,40,2
2024-01-23,Referral,19.73,1960,98,6
2024-01-23,TikTok,66.44,10444,94,4
2024-01-24,Email/Organic,10.23,5100,204,7
2024-01-24,Google Brand,81.78,1700,136,4
2024-01-24,Google Shopping,164.45,4966,149,5
2024-01-24,Meta Prospecting,153.99,14250,171,9
2024-01-24,Meta Retargeting,108.26,3772,83,4
2024-01-24,Referral,14.01,1400,70,4
2024-01-24,TikTok,88.98,14111,127,4
2024-01-25,Email/Organic,7.1,3525,141,6
2024-01-25,Google Brand,86.44,1800,144,4
2024-01-25,Google Shopping,85.08,2566,77,3
2024-01-25,Meta Prospecting,93.58,8583,103,5
2024-01-25,Meta Retargeting,173.42,6045,133,7
2024-01-25,Referral,2.38,220,11,1
2024-01-25,TikTok,109.66,17333,156,5
2024-01-26,Email/Organic,16.46,8225,329,11
2024-01-26,Google Brand,73.02,1512,121,3
2024-01-26,Google Shopping,34.73,1033,31,1
2024-01-26,Meta Prospecting,195.36,18083,217,11
2024-01-26,Meta Retargeting,133.45,4636,102,5
2024-01-26,Referral,11.39,1120,56,3
2024-01-26,TikTok,37.39,5888,53,2
2024-01-27,Email/Organic,16.26,8125,325,11
2024-01-27,Google Brand,132.64,2762,221,6
2024-01-27,Google Shopping,164.31,4966,149,6
2024-01-27,Meta Prospecting,291.54,26916,323,16
2024-01-27,Meta Retargeting,127.56,4454,98,4
2024-01-27,Referral,6.17,600,30,2
2024-01-27,TikTok,27.48,4333,39,1
2024-01-28,Email/Organic,15.1,7550,302,10
2024-01-28,Google Brand,72.66,1512,121,3
2024-01-28,Google Shopping,34.35,1033,31,1
2024-01-28,Meta Prospecting,150.01,13833,166,8
2024-01-28,Meta Retargeting,151.18,5272,116,6
2024-01-28,Referral,7.68,760,38,2
2024-01-28,TikTok,70.83,11222,101,3
2024-01-29,Email/Organic,16.43,8200,328,12
2024-01-29,Google Brand,70.69,1462,117,3
2024-01-29,Google Shopping,140.87,4266,128,5
2024-01-29,Meta Prospecting,156.92,14500,174,9
2024-01-29,Meta Retargeting,49.12,1681,37,2
2024-01-29,Referral,9.55,940,47,3
2024-01-29,TikTok,84.24,13333,120,5
2024-01-30,Email/Organic,3.57,1775,71,3
2024-01-30,Google Brand,80.84,1675,134,4
2024-01-30,Google Shopping,195.97,5933,178,8
2024-01-30,Meta Prospecting,188.41,17416,209,10
2024-01-30,Meta Retargeting,112.21,3909,86,4
2024-01-30,Referral,8.71,860,43,3
2024-01-30,TikTok,86.22,13666,123,4
2024-01-31,Email/Organic,16.85,8425,337,12
2024-01-31,Google Brand,110.54,2300,184,5
2024-01-31,Google Shopping,68.4,2066,62,3
2024-01-31,Meta Prospecting,188.27,17416,209,10
2024-01-31,Meta Retargeting,191.7,6681,147,8
2024-01-31,Referral,35.5,3540,177,10
2024-01-31,TikTok,75.6,12000,108,3
2024-02-01,Email/Organic,10.24,5100,204,8
2024-02-01,Google Brand,162.13,3375,270,7
2024-02-01,Google Shopping,121.39,3666,110,4
2024-02-01,Meta Prospecting,161.15,14916,179,8
2024-02-01,Meta Retargeting,19.35,636,14,1
2024-02-01,Referral,15.58,1540,77,4
2024-02-01,TikTok,87.16,13777,124,5
2024-02-02,Email/Organic,6.75,3375,135,5
2024-02-02,Google Brand,134.8,2800,224,6
2024-02-02,Google Shopping,92.66,2800,84,3
2024-02-02,Meta Prospecting,133.39,12333,148,7
2024-02-02,Meta Retargeting,119.85,4181,92,5
2024-02-02,Referral,8.07,800,40,2
2024-02-02,TikTok,11.97,1888,17,1
2024-02-03,Email/Organic,13.31,6650,266,10
2024-02-03,Google Brand,36.58,750,60,2
2024-02-03,Google Shopping,182.68,5533,166,5
2024-02-03,Meta Prospecting,137.22,12666,152,7
2024-02-03,Meta Retargeting,110.75,3863,85,5
2024-02-03,Referral,21.86,2180,109,5
2024-02-03,TikTok,15.84,2444,22,1
2024-02-04,Email/Organic,10.45,5200,208,8
2024-02-04,Google Brand,60.65,1262,101,2
2024-02-04,Google Shopping,159.34,4800,144,6
2024-02-04,Meta Prospecting,92.62,8500,102,5
2024-02-04,Meta Retargeting,100.07,3454,76,4
2024-02-04,Referral,8.73,860,43,2
2024-02-04,TikTok,32.26,5111,46,2
2024-02-05,Email/Organic,9.07,4525,181,6
2024-02-05,Google Brand,158.24,3287,263,6
2024-02-05,Google Shopping,165.85,5000,150,5
2024-02-05,Meta Prospecting,181.51,16750,201,10
2024-02-05,Meta Retargeting,41.63,1454,32,2
2024-02-05,Referral,21.23,2120,106,6
2024-02-05,TikTok,185.61,29444,265,10
2024-02-06,Email/Organic,15.59,7775,311,10
2024-02-06,Google Brand,177.86,3700,296,8
2024-02-06,Google Shopping,313.29,9466,284,10
2024-02-06,Meta Prospecting,175.04,16166,194,10
2024-02-06,Meta Retargeting,51.58,1772,39,2
2024-02-06,Referral,14.71,1460,73,4
2024-02-06,TikTok,40.19,6333,57,3
2024-02-07,Email/Organic,13.89,6925,277,10
2024-02-07,Google Brand,44.77,925,74,2
2024-02-07,Google Shopping,137.09,4133,124,4
2024-02-07,Meta Prospecting,157.72,14583,175,9
2024-02-07,Meta Retargeting,247.45,8636,190,9
2024-02-07,Referral,13.01,1300,65,4
2024-02-07,TikTok,199.71,31666,285,10
2024-02-08,Email/Organic,3.65,1825,73,3
2024-02-08,Google Brand,65.93,1362,109,3
2024-02-08,Google Shopping,123.63,3733,112,4
2024-02-08,Meta Prospecting,259.21,24000,288,14
2024-02-08,Meta Retargeting,287.51,10045,221,12
2024-02-08,Referral,18.31,1820,91,5
2024-02-08,TikTok,141.26,22333,201,7
2024-02-09,Email/Organic,13.96,6975,279,9
2024-02-09,Google Brand,166.61,3462,277,7
2024-02-09,Google Shopping,212.49,6433,193,6
2024-02-09,Meta Prospecting,111.27,10250,123,6
2024-02-09,Meta Retargeting,109.75,3818,84,5
2024-02-09,Referral,18.09,1800,90,5
2024-02-09,TikTok,96.62,15333,138,5
2024-02-10,Email/Organic,4.92,2450,98,4
2024-02-10,Google Brand,80.15,1662,133,4
2024-02-10,Google Shopping,282.29,8533,256,9
2024-02-10,Meta Prospecting,253.12,23416,281,13
2024-02-10,Meta Retargeting,167.28,5818,128,6
2024-02-10,Referral,5.84,580,29,2
2024-02-10,TikTok,56.86,9000,81,3
2024-02-11,Email/Organic,12.53,6250,250,10
2024-02-11,Google Brand,169.81,3537,283,8
2024-02-11,Google Shopping,86.09,2600,78,3
2024-02-11,Meta Prospecting,170.04,15666,188,9
2024-02-11,Meta Retargeting,74.38,2590,57,3
2024-02-11,Referral,14.27,1420,71,4
2024-02-11,TikTok,29.49,4666,42,2
2024-02-12,Email/Organic,2.04,1000,40,2
2024-02-12,Google Brand,66.42,1375,110,3
2024-02-12,Google Shopping,121.44,3666,110,4
2024-02-12,Meta Prospecting,139.14,12833,154,8
2024-02-12,Meta Retargeting,231.46,8090,178,8
2024-02-12,Referral,20.62,2060,103,7
2024-02-12,TikTok,18.32,2888,26,1
2024-02-13,Email/Organic,11.83,5900,236,9
2024-02-13,Google Brand,83.27,1725,138,4
2024-02-13,Google Shopping,96.71,2900,87,3
2024-02-13,Meta Prospecting,253.63,23416,281,14
2024-02-13,Meta Retargeting,189.04,6590,145,7
2024-02-13,Referral,9.13,900,45,3
2024-02-13,TikTok,101.08,16000,144,5
2024-02-14,Email/Organic,13.09,6525,261,10
2024-02-14,Google Brand,150.48,3125,250,7
2024-02-14,Google Shopping,282.26,8533,256,8
2024-02-14,Meta Prospecting,178.8,16500,198,10
2024-02-14,Meta Retargeting,147.41,5136,113,6
2024-02-14,Referral,13.78,1360,68,4
2024-02-14,TikTok,142.56,22555,203,7
2024-02-15,Email/Organic,14.5,7250,290,11
2024-02-15,Google Brand,86.43,1800,144,4
2024-02-15,Meta Prospecting,82.29,7583,91,5
2024-02-15,Meta Retargeting,177.11,6181,136,6
2024-02-15,Referral,19.61,1960,98,6
2024-02-15,TikTok,62.93,9888,89,3
2024-02-16,Email/Organic,12.8,6400,256,9
2024-02-16,Google Brand,160.87,3350,268,7
2024-02-16,Google Shopping,340.17,10300,309,10
2024-02-16,Meta Prospecting,125.51,11583,139,8
2024-02-16,Meta Retargeting,119.55,4136,91,4
2024-02-16,Referral,18.75,1860,93,5
2024-02-16,TikTok,74.31,11777,106,4
2024-02-17,Email/Organic,9.96,4975,199,7
2024-02-17,Google Brand,79.63,1650,132,4
2024-02-17,Google Shopping,268.02,8100,243,8
2024-02-17,Meta Prospecting,172.11,15916,191,10
2024-02-17,Meta Retargeting,60.83,2090,46,3
2024-02-17,Referral,6.47,640,32,2
2024-02-17,TikTok,150.95,23888,215,8
2024-02-18,Email/Organic,9.52,4750,190,7
2024-02-18,Google Brand,39.68,825,66,2
2024-02-18,Google Shopping,106.96,3233,97,4
2024-02-18,Meta Prospecting,337.71,31250,375,18
2024-02-18,Meta Retargeting,108.03,3772,83,5
2024-02-18,Referral,11.39,1120,56,3
2024-02-18,TikTok,96.94,15333,138,5
2024-02-19,Email/Organic,18.19,9075,363,12
2024-02-19,Google Brand,204.38,4250,340,9
2024-02-19,Google Shopping,336.79,10200,306,11
2024-02-19,Meta Prospecting,177.66,16416,197,10
2024-02-19,Meta Retargeting,185.37,6454,142,8
2024-02-19,Referral,9.96,980,49,3
2024-02-19,TikTok,100.15,15888,143,5
2024-02-20,Email/Organic,8.52,4250,170,6
2024-02-20,Google Brand,91.03,1887,151,5
2024-02-20,Google Shopping,113.57,3433,103,3
2024-02-20,Meta Prospecting,310.74,28750,345,17
2024-02-20,Meta Retargeting,15.96,545,12,1
2024-02-20,Referral,21.04,2100,105,5
2024-02-20,TikTok,162.61,25777,232,8
2024-02-21,Email/Organic,9.05,4525,181,7
2024-02-21,Google Brand,93.8,1950,156,4
2024-02-21,Google Shopping,136.04,4100,123,4
2024-02-21,Meta Prospecting,111.97,10333,124,7
2024-02-21,Meta Retargeting,288.14,10045,221,11
2024-02-21,Referral,16.05,1600,80,5
2024-02-21,TikTok,99.21,15666,141,4
2024-02-22,Email/Organic,6.31,3150,126,5
2024-02-22,Google Brand,62.44,1300,104,4
2024-02-22,Google Shopping,238.88,7233,217,8
2024-02-22,Meta Prospecting,139.39,12833,154,8
2024-02-22,Meta Retargeting,273.44,9545,210,10
2024-02-22,Referral,14.09,1400,70,4
2024-02-22,TikTok,138.31,21888,197,7
2024-02-23,Email/Organic,17.1,8550,342,11
2024-02-23,Google Brand,174.4,3625,290,7
2024-02-23,Google Shopping,275.73,8333,250,9
2024-02-23,Meta Prospecting,223.01,20583,247,13
2024-02-23,Meta Retargeting,121.25,4227,93,6
2024-02-23,Referral,16.06,1600,80,4
2024-02-23,TikTok,151.2,24000,216,8
2024-02-24,Email/Organic,19.57,9775,391,13
2024-02-24,Google Brand,43.5,900,72,2
2024-02-24,Google Shopping,161.06,4866,146,6
2024-02-24,Meta Prospecting,119.23,11000,132,7
2024-02-24,Meta Retargeting,148.95,5181,114,6
2024-02-24,Referral,15.86,1580,79,5
2024-02-24,TikTok,54.71,8666,78,3
2024-02-25,Email/Organic,8.86,4425,177,6
2024-02-25,Google Brand,91.16,1887,151,4
2024-02-25,Google Shopping,200.99,6066,182,7
2024-02-25,Meta Prospecting,240.55,22250,267,14
2024-02-25,Meta Retargeting,165.47,5772,127,6
2024-02-25,Referral,19.16,1900,95,6
2024-02-25,TikTok,99.18,15666,141,5
2024-02-26,Email/Organic,8.84,4400,176,8
2024-02-26,Google Brand,93.33,1937,155,4
2024-02-26,Google Shopping,207.7,6266,188,6
2024-02-26,Meta Prospecting,213.02,19666,236,13
2024-02-26,Meta Retargeting,182.13,6363,140,7
2024-02-26,Referral,4.0,400,20,1
2024-02-27,Email/Organic,17.81,8900,356,13
2024-02-27,Google Brand,107.66,2237,179,5
2024-02-27,Google Shopping,270.05,8166,245,8
2024-02-27,Meta Prospecting,264.88,24500,294,14
2024-02-27,Referral,25.2,2500,125,7
2024-02-27,TikTok,97.2,15333,138,4
2024-02-28,Email/Organic,19.19,9575,383,14
2024-02-28,Google Brand,81.85,1700,136,4
2024-02-28,Google Shopping,83.48,2500,75,3
2024-02-28,Meta Prospecting,250.77,23166,278,14
2024-02-28,Meta Retargeting,105.26,3636,80,5
2024-02-28,Referral,14.93,1480,74,4
2024-02-28,TikTok,41.11,6444,58,2
2024-02-29,Email/Organic,7.18,3575,143,5
2024-02-29,Google Brand,149.57,3112,249,6
2024-02-29,Google Shopping,261.26,7900,237,8
2024-02-29,Meta Prospecting,254.02,23500,282,14
2024-02-29,Meta Retargeting,134.5,4681,103,5
2024-02-29,Referral,10.67,1060,53,3
2024-02-29,TikTok,122.77,19444,175,7
2024-03-01,Email/Organic,8.27,4125,165,6
2024-03-01,Google Brand,120.77,2512,201,5
2024-03-01,Google Shopping,130.83,3933,118,4
2024-03-01,Meta Prospecting,176.87,16333,196,11
2024-03-01,Meta Retargeting,156.9,5454,120,7
2024-03-01,Referral,18.04,1800,90,5
2024-03-01,TikTok,79.6,12555,113,4
2024-03-02,Email/Organic,4.97,2475,99,4
2024-03-02,Google Brand,168.13,3500,280,7
2024-03-02,Google Shopping,291.05,8800,264,9
2024-03-02,Meta Prospecting,214.62,19833,238,13
2024-03-02,Meta Retargeting,215.76,7500,165,8
2024-03-02,Referral,5.27,520,26,2
2024-03-02,TikTok,54.16,8555,77,3
2024-03-03,Email/Organic,12.19,6075,243,9
2024-03-03,Google Brand,130.68,2712,217,6
2024-03-03,Google Shopping,254.14,7700,231,9
2024-03-03,Meta Prospecting,241.42,22333,268,15
2024-03-03,Meta Retargeting,106.18,3681,81,4
2024-03-03,Referral,11.23,1120,56,3
2024-03-03,TikTok,132.25,20888,188,7
2024-03-04,Email/Organic,13.25,6625,265,11
2024-03-04,Google Brand,177.79,3700,296,9
2024-03-04,Google Shopping,308.65,9333,280,10
2024-03-04,Meta Prospecting,166.07,15333,184,9
2024-03-04,Meta Retargeting,68.7,2363,52,3
2024-03-04,Referral,23.45,2340,117,7
2024-03-04,TikTok,162.83,25777,232,8
2024-03-05,Email/Organic,10.35,5150,206,8
2024-03-05,Google Brand,102.79,2137,171,5
2024-03-05,Google Shopping,252.15,7633,229,8
2024-03-05,Meta Prospecting,100.38,9250,111,5
2024-03-05,Meta Retargeting,166.72,5818,128,7
2024-03-05,Referral,12.08,1200,60,3
2024-03-05,TikTok,97.25,15333,138,5
2024-03-06,Email/Organic,12.33,6150,246,8
2024-03-06,Google Brand,95.45,1987,159,4
2024-03-06,Google Shopping,294.34,8900,267,9
2024-03-06,Meta Prospecting,269.56,24916,299,15
2024-03-06,Meta Retargeting,116.91,4045,89,4
2024-03-06,Referral,19.39,1920,96,6
2024-03-06,TikTok,92.91,14666,132,5
2024-03-07,Email/Organic,9.61,4800,192,6
2024-03-07,Google Brand,212.98,4425,354,8
2024-03-07,Google Shopping,343.5,10400,312,10
2024-03-07,Meta Prospecting,276.67,25583,307,14
2024-03-07,Meta Retargeting,226.54,7909,174,10
2024-03-07,Referral,13.01,1300,65,4
2024-03-07,TikTok,119.36,18888,170,6
2024-03-08,Email/Organic,13.16,6575,263,10
2024-03-08,Google Brand,167.8,3487,279,7
2024-03-08,Google Shopping,366.65,11100,333,11
2024-03-08,Meta Prospecting,168.86,15583,187,10
2024-03-08,Meta Retargeting,117.19,4090,90,4
2024-03-08,Referral,43.93,4380,219,12
2024-03-08,TikTok,74.02,11666,105,4
2024-03-09,Email/Organic,8.38,4175,167,7
2024-03-09,Google Brand,102.34,2125,170,4
2024-03-09,Google Shopping,339.26,10266,308,12
2024-03-09,Meta Prospecting,196.15,18083,217,11
2024-03-09,Meta Retargeting,194.03,6772,149,6
2024-03-09,Referral,17.31,1720,86,5
2024-03-09,TikTok,66.56,10555,95,3
2024-03-10,Email/Organic,11.96,5975,239,8
2024-03-10,Google Brand,59.92,1237,99,3
2024-03-10,Google Shopping,205.39,6200,186,7
2024-03-10,Meta Prospecting,193.23,17833,214,11
2024-03-10,Meta Retargeting,116.11,4045,89,5
2024-03-10,Referral,9.06,900,45,3
2024-03-10,TikTok,49.11,7777,70,3
2024-03-11,Email/Organic,3.62,1800,72,3
2024-03-11,Google Brand,174.34,3625,290,8
2024-03-11,Google Shopping,283.36,8566,257,9
2024-03-11,Meta Prospecting,233.8,21583,259,11
2024-03-11,Meta Retargeting,219.5,7636,168,8
2024-03-11,Referral,6.75,660,33,2
2024-03-11,TikTok,126.3,20000,180,6
2024-03-12,Email/Organic,9.29,4625,185,6
2024-03-12,Google Brand,85.42,1775,142,4
2024-03-12,Google Shopping,306.07,9266,278,9
2024-03-12,Meta Prospecting,186.17,17166,206,11
2024-03-12,Meta Retargeting,131.34,4590,101,5
2024-03-12,Referral,24.59,2440,122,7
2024-03-12,TikTok,125.65,19888,179,6
2024-03-13,Email/Organic,10.34,5150,206,8
2024-03-13,Google Brand,50.03,1037,83,3
2024-03-13,Google Shopping,100.71,3033,91,3
2024-03-13,Meta Prospecting,223.36,20666,248,13
2024-03-13,Meta Retargeting,98.96,3454,76,5
2024-03-13,Referral,26.77,2660,133,8
2024-03-13,TikTok,110.83,17555,158,5
2024-03-14,Email/Organic,10.37,5175,207,9
2024-03-14,Google Brand,150.79,3137,251,7
2024-03-14,Google Shopping,304.44,9200,276,10
2024-03-14,Meta Prospecting,221.27,20416,245,13
2024-03-14,Meta Retargeting,54.23,1863,41,3
2024-03-14,Referral,20.23,2020,101,5
2024-03-14,TikTok,95.39,15111,136,4
2024-03-15,Email/Organic,11.51,5750,230,8
2024-03-15,Google Brand,120.7,2512,201,5
2024-03-15,Google Shopping,294.43,8900,267,10
2024-03-15,Meta Prospecting,260.6,24083,289,15
2024-03-15,Meta Retargeting,183.88,6409,141,7
2024-03-15,Referral,30.98,3080,154,9
2024-03-15,TikTok,150.19,23777,214,6
2024-03-16,Email/Organic,17.88,8925,357,12
2024-03-16,Google Brand,145.59,3025,242,6
2024-03-16,Google Shopping,193.54,5833,175,6
2024-03-16,Meta Prospecting,114.73,10583,127,6
2024-03-16,Meta Retargeting,80.3,2772,61,3
2024-03-16,Referral,14.77,1460,73,4
2024-03-16,TikTok,43.74,6888,62,2
2024-03-17,Email/Organic,8.82,4400,176,6
2024-03-17,Google Brand,144.14,3000,240,6
2024-03-17,Google Shopping,225.91,6833,205,7
2024-03-17,Meta Prospecting,226.98,21000,252,13
2024-03-17,Meta Retargeting,111.71,3863,85,5
2024-03-17,Referral,28.71,2860,143,8
2024-03-17,TikTok,131.94,20888,188,6
2024-03-18,Email/Organic,9.78,4875,195,7
2024-03-18,Google Brand,75.9,1575,126,3
2024-03-18,Google Shopping,308.07,9333,280,10
2024-03-18,Meta Prospecting,154.41,14250,171,10
2024-03-18,Meta Retargeting,82.91,2863,63,3
2024-03-18,Referral,27.04,2700,135,8
2024-03-18,TikTok,113.3,17888,161,5
2024-03-19,Email/Organic,14.25,7125,285,10
2024-03-19,Google Brand,71.27,1475,118,3
2024-03-19,Google Shopping,254.89,7700,231,8
2024-03-19,Meta Prospecting,138.88,12833,154,8
2024-03-19,Meta Retargeting,169.5,5909,130,7
2024-03-19,Referral,18.86,1880,94,5
2024-03-19,TikTok,106.36,16777,151,5
2024-03-20,Email/Organic,19.32,9650,386,14
2024-03-20,Google Brand,128.46,2675,214,6
2024-03-20,Google Shopping,126.44,3800,114,4
2024-03-20,Meta Prospecting,159.61,14750,177,9
2024-03-20,Meta Retargeting,218.92,7636,168,8
2024-03-20,Referral,16.57,1640,82,5
2024-03-20,TikTok,92.33,14555,131,6
2024-03-21,Email/Organic,11.18,5575,223,8
2024-03-21,Google Brand,90.36,1875,150,4
2024-03-21,Google Shopping,221.82,6700,201,6
2024-03-21,Meta Prospecting,286.95,26500,318,15
2024-03-21,Meta Retargeting,109.63,3818,84,5
2024-03-21,Referral,20.69,2060,103,6
2024-03-21,TikTok,38.12,6000,54,2
2024-03-22,Email/Organic,7.79,3875,155,5
2024-03-22,Google Brand,87.55,1812,145,4
2024-03-22,Google Shopping,205.09,6200,186,6
