customer_id,first_order_date,acquisition_channel,acquisition_cost,region,campaign
78,2024-01-03,Meta Retargeting,39.24,West,Cart Abandoners
79,2024-01-03,Google Brand,12.96,South,Brand — Exact
80,2024-01-03,TikTok,17.92,West,Spark Ads
81,2024-01-03,Meta Retargeting,32.23,South,30-Day Site Visitors
82,2024-01-03,Meta Prospecting,15.17,Midwest,Lookalike 1%
83,2024-01-03,Google Shopping,35.63,West,Performance Max
84,2024-01-03,Referral,7.07,South,Influencer Code
85,2024-01-03,Email/Organic,7.71,Midwest,Organic Search
86,2024-01-03,Google Shopping,17.19,Midwest,Performance Max
87,2024-01-03,Meta Prospecting,18.74,West,Advantage+ Shopping
88,2024-01-03,Email/Organic,7.43,West,Organic Search
89,2024-01-03,Referral,6.82,Northeast,Friend Referral
90,2024-01-03,Meta Prospecting,20.0,South,Advantage+ Shopping
91,2024-01-03,Google Shopping,36.9,West,Standard Shopping
92,2024-01-03,TikTok,17.91,South,Spark Ads
93,2024-01-03,Email/Organic,7.71,Midwest,Newsletter
94,2024-01-03,Email/Organic,6.5,Northeast,Direct
95,2024-01-03,Email/Organic,10.82,Midwest,Newsletter
96,2024-01-03,Google Brand,32.27,South,Brand — Phrase
97,2024-01-03,Meta Retargeting,31.91,West,30-Day Site Visitors
98,2024-01-03,TikTok,25.57,West,Trending Sounds
99,2024-01-03,TikTok,16.89,West,Creator UGC
100,2024-01-03,TikTok,21.95,South,Trending Sounds
101,2024-01-03,Referral,8.19,West,Influencer Code
102,2024-01-03,Google Shopping,8.89,West,Standard Shopping
103,2024-01-03,Google Shopping,24.01,South,Standard Shopping
104,2024-01-03,TikTok,27.18,Midwest,Creator UGC
105,2024-01-03,Email/Organic,6.17,West,Organic Search
106,2024-01-03,Email/Organic,11.85,South,Organic Search
107,2024-01-03,TikTok,13.68,Northeast,Trending Sounds
108,2024-01-03,Referral,5.49,West,Friend Referral
109,2024-01-03,Meta Retargeting,28.64,Midwest,30-Day Site Visitors
110,2024-01-04,Google Brand,20.69,Northeast,Brand — Exact
111,2024-01-04,Email/Organic,7.79,Northeast,Direct
112,2024-01-04,Google Shopping,44.04,South,Performance Max
113,2024-01-04,Google Shopping,38.26,West,Standard Shopping
114,2024-01-04,Referral,8.86,Midwest,Friend Referral
115,2024-01-04,Google Brand,16.21,Midwest,Brand — Phrase
116,2024-01-04,Referral,5.92,South,Influencer Code
117,2024-01-04,Referral,6.99,South,Friend Referral
118,2024-01-04,Meta Prospecting,16.78,West,Broad Interest
119,2024-01-04,Meta Prospecting,21.18,West,Lookalike 1%
120,2024-01-04,Meta Prospecting,20.43,West,Lookalike 1%
121,2024-01-04,Meta Prospecting,23.38,West,Lookalike 1%
122,2024-01-04,Meta Prospecting,16.28,Northeast,Advantage+ Shopping
123,2024-01-04,Email/Organic,9.4,Midwest,Organic Search
124,2024-01-04,Meta Prospecting,22.57,Northeast,Lookalike 1%
125,2024-01-04,Meta Retargeting,23.27,Northeast,30-Day Site Visitors
126,2024-01-04,TikTok,17.08,West,Spark Ads
127,2024-01-04,Meta Prospecting,23.39,Midwest,Broad Interest
128,2024-01-04,TikTok,11.04,Northeast,Creator UGC
129,2024-01-04,Meta Retargeting,34.98,West,30-Day Site Visitors
130,2024-01-04,Meta Prospecting,16.8,South,Lookalike 1%
131,2024-01-04,Email/Organic,8.99,West,Newsletter
132,2024-01-04,Email/Organic,11.52,South,Direct
133,2024-01-04,TikTok,23.39,Northeast,Spark Ads
134,2024-01-04,Email/Organic,6.14,Northeast,Direct
135,2024-01-04,TikTok,16.29,West,Spark Ads
136,2024-01-04,Meta Retargeting,26.4,Northeast,Cart Abandoners
137,2024-01-04,Meta Prospecting,21.89,West,Lookalike 1%
138,2024-01-04,Email/Organic,9.94,South,Newsletter
139,2024-01-04,TikTok,20.24,Midwest,Creator UGC
140,2024-01-04,Referral,6.33,Midwest,Influencer Code
141,2024-01-04,Google Brand,31.0,South,Brand — Phrase
142,2024-01-04,Google Brand,21.46,Midwest,Brand — Exact
143,2024-01-04,Email/Organic,10.93,West,Organic Search
144,2024-01-04,Meta Retargeting,25.1,South,Cart Abandoners
145,2024-01-04,Referral,4.91,South,Influencer Code
146,2024-01-04,TikTok,11.58,Northeast,Trending Sounds
147,2024-01-04,Google Brand,23.75,Midwest,Brand — Exact
148,2024-01-04,Email/Organic,10.47,South,Newsletter
149,2024-01-04,Email/Organic,11.92,Northeast,Newsletter
150,2024-01-04,Meta Prospecting,17.71,Northeast,Broad Interest
151,2024-01-04,Referral,6.57,Northeast,Friend Referral
152,2024-01-04,Google Shopping,33.02,South,Performance Max
153,2024-01-04,TikTok,15.17,Northeast,Creator UGC
154,2024-01-04,Meta Retargeting,27.58,South,Cart Abandoners
155,2024-01-04,Referral,7.43,South,Influencer Code
156,2024-01-04,Google Brand,21.47,Northeast,Brand — Phrase
157,2024-01-05,Google Shopping,30.62,South,Standard Shopping
158,2024-01-05,Meta Prospecting,17.98,South,Broad Interest
159,2024-01-05,Referral,7.62,Midwest,Friend Referral
160,2024-01-05,Email/Organic,8.76,West,Organic Search
161,2024-01-05,Meta Retargeting,25.57,West,30-Day Site Visitors
162,2024-01-05,Email/Organic,6.82,South,Newsletter
163,2024-01-05,Email/Organic,9.97,Northeast,Newsletter
164,2024-01-05,Google Brand,31.95,West,Brand — Phrase
165,2024-01-05,Meta Prospecting,16.74,West,Broad Interest
166,2024-01-05,Email/Organic,7.39,West,Direct
167,2024-01-05,Google Shopping,27.19,West,Standard Shopping
168,2024-01-05,Email/Organic,6.16,South,Direct
169,2024-01-05,Google Shopping,29.69,South,Performance Max
170,2024-01-05,TikTok,19.55,Midwest,Spark Ads
171,2024-01-05,Google Shopping,31.29,Midwest,Standard Shopping
172,2024-01-05,Google Shopping,36.81,Midwest,Standard Shopping
173,2024-01-05,TikTok,17.27,West,Spark Ads
174,2024-01-05,Google Brand,19.35,South,Brand — Exact
175,2024-01-05,Meta Prospecting,13.14,South,Advantage+ Shopping
176,2024-01-05,Meta Prospecting,15.52,Midwest,Lookalike 1%
177,2024-01-05,Email/Organic,4.66,West,Direct
178,2024-01-05,Email/Organic,10.69,Northeast,Newsletter
179,2024-01-05,Email/Organic,7.04,South,Newsletter
180,2024-01-05,Meta Prospecting,14.15,South,Advantage+ Shopping
181,2024-01-05,Meta Prospecting,18.31,South,Broad Interest
182,2024-01-05,Meta Prospecting,14.79,South,Advantage+ Shopping
183,2024-01-05,Google Brand,17.62,West,Brand — Exact
184,2024-01-05,Email/Organic,6.9,South,Organic Search
185,2024-01-05,Google Brand,18.83,West,Brand — Exact
186,2024-01-05,Google Brand,23.06,Midwest,Brand — Phrase
187,2024-01-05,Referral,8.4,Midwest,Influencer Code
188,2024-01-05,Google Brand,17.77,South,Brand — Phrase
189,2024-01-05,Google Shopping,30.98,South,Standard Shopping
190,2024-01-05,TikTok,18.06,West,Spark Ads
191,2024-01-05,Google Brand,29.66,West,Brand — Phrase
192,2024-01-05,Email/Organic,11.76,South,Direct
193,2024-01-05,TikTok,14.24,South,Creator UGC
194,2024-01-05,Referral,7.04,West,Influencer Code
195,2024-01-05,Meta Prospecting,18.5,West,Broad Interest
196,2024-01-05,Referral,6.29,West,Friend Referral
197,2024-01-05,Google Shopping,26.73,West,Performance Max
198,2024-01-05,Meta Retargeting,21.26,Northeast,30-Day Site Visitors
199,2024-01-06,Google Brand,19.36,South,Brand — Exact
200,2024-01-06,Referral,6.0,South,Influencer Code
201,2024-01-06,Meta Prospecting,18.19,West,Lookalike 1%
202,2024-01-06,Google Brand,26.87,West,Brand — Exact
203,2024-01-06,Referral,6.11,Midwest,Influencer Code
204,2024-01-06,TikTok,22.33,South,Spark Ads
205,2024-01-06,TikTok,26.34,South,Trending Sounds
206,2024-01-06,Meta Retargeting,29.3,Northeast,30-Day Site Visitors
207,2024-01-06,Meta Prospecting,17.2,Northeast,Lookalike 1%
208,2024-01-06,Email/Organic,9.73,Northeast,Direct
209,2024-01-06,Referral,6.07,West,Influencer Code
210,2024-01-06,Google Shopping,31.59,South,Standard Shopping
211,2024-01-06,Google Shopping,29.94,Northeast,Standard Shopping
212,2024-01-06,Meta Retargeting,27.93,West,30-Day Site Visitors
213,2024-01-06,Email/Organic,8.18,West,Newsletter
214,2024-01-06,Meta Prospecting,19.56,Midwest,Advantage+ Shopping
215,2024-01-06,Meta Retargeting,23.59,South,Cart Abandoners
216,2024-01-06,Google Brand,26.22,South,Brand — Exact
217,2024-01-06,Google Shopping,28.78,Northeast,Standard Shopping
218,2024-01-06,Meta Retargeting,14.34,South,30-Day Site Visitors
219,2024-01-06,Meta Prospecting,14.01,West,Lookalike 1%
220,2024-01-06,Email/Organic,9.04,West,Organic Search
221,2024-01-06,Meta Retargeting,35.59,Northeast,30-Day Site Visitors
222,2024-01-06,Email/Organic,10.64,Northeast,Direct
223,2024-01-06,Meta Prospecting,9.24,Midwest,Lookalike 1%
224,2024-01-07,Meta Prospecting,27.69,West,Lookalike 1%
225,2024-01-07,TikTok,20.57,Northeast,Creator UGC
226,2024-01-07,Email/Organic,9.22,Midwest,Direct
227,2024-01-07,Google Shopping,35.95,Northeast,Standard Shopping
228,2024-01-07,Referral,5.78,South,Friend Referral
229,2024-01-07,TikTok,22.07,South,Creator UGC
230,2024-01-07,Meta Prospecting,24.31,Northeast,Lookalike 1%
231,2024-01-07,Meta Retargeting,23.08,Northeast,Cart Abandoners
232,2024-01-07,Meta Retargeting,20.34,Northeast,Cart Abandoners
233,2024-01-07,Email/Organic,8.75,Northeast,Organic Search
234,2024-01-07,Meta Prospecting,18.22,South,Advantage+ Shopping
235,2024-01-07,Google Shopping,38.46,South,Performance Max
236,2024-01-07,Email/Organic,8.69,Northeast,Direct
237,2024-01-07,TikTok,18.12,West,Trending Sounds
238,2024-01-07,Google Brand,17.1,South,Brand — Exact
239,2024-01-07,TikTok,12.72,Northeast,Creator UGC
240,2024-01-07,Meta Prospecting,12.89,Midwest,Broad Interest
241,2024-01-07,TikTok,14.3,South,Creator UGC
242,2024-01-07,Meta Prospecting,16.97,West,Lookalike 1%
243,2024-01-07,Google Brand,14.72,West,Brand — Exact
244,2024-01-07,TikTok,8.13,Northeast,Spark Ads
245,2024-01-07,Meta Prospecting,17.78,South,Lookalike 1%
246,2024-01-07,Meta Retargeting,36.58,West,30-Day Site Visitors
247,2024-01-07,Email/Organic,11.23,Midwest,Organic Search
248,2024-01-07,Email/Organic,8.47,West,Organic Search
249,2024-01-07,Email/Organic,6.81,Northeast,Organic Search
250,2024-01-07,Email/Organic,14.1,West,Direct
251,2024-01-07,Google Shopping,31.4,Midwest,Performance Max
252,2024-01-07,Meta Retargeting,27.13,West,Cart Abandoners
253,2024-01-07,Google Brand,21.3,West,Brand — Exact
254,2024-01-07,Meta Prospecting,17.87,South,Lookalike 1%
255,2024-01-07,Referral,6.16,West,Influencer Code
256,2024-01-07,Email/Organic,8.5,South,Direct
257,2024-01-07,Google Brand,29.28,South,Brand — Phrase
258,2024-01-07,Google Shopping,39.5,West,Performance Max
259,2024-01-07,Referral,3.81,West,Friend Referral
260,2024-01-07,Meta Prospecting,12.43,Midwest,Lookalike 1%
261,2024-01-07,Email/Organic,7.46,South,Organic Search
262,2024-01-08,Meta Prospecting,21.85,Midwest,Broad Interest
263,2024-01-08,Meta Prospecting,17.88,South,Advantage+ Shopping
264,2024-01-08,Meta Retargeting,38.33,West,30-Day Site Visitors
265,2024-01-08,Email/Organic,10.33,West,Organic Search
266,2024-01-08,Meta Prospecting,12.9,West,Lookalike 1%
267,2024-01-08,Meta Prospecting,18.4,West,Broad Interest
268,2024-01-08,TikTok,12.83,South,Spark Ads
269,2024-01-08,Meta Prospecting,20.19,Midwest,Broad Interest
270,2024-01-08,Email/Organic,8.07,West,Organic Search
271,2024-01-08,Meta Retargeting,29.01,West,Cart Abandoners
272,2024-01-08,Meta Prospecting,24.42,Midwest,Broad Interest
273,2024-01-08,Meta Retargeting,34.98,West,Cart Abandoners
274,2024-01-08,Email/Organic,8.69,South,Organic Search
275,2024-01-08,TikTok,23.55,South,Trending Sounds
276,2024-01-08,TikTok,18.47,South,Creator UGC
277,2024-01-08,Google Brand,22.96,West,Brand — Phrase
278,2024-01-08,Email/Organic,5.98,South,Newsletter
279,2024-01-08,Meta Prospecting,14.84,Midwest,Lookalike 1%
280,2024-01-08,Meta Retargeting,29.28,South,Cart Abandoners
281,2024-01-08,Referral,4.3,Midwest,Influencer Code
282,2024-01-08,Meta Prospecting,18.38,West,Advantage+ Shopping
283,2024-01-08,Meta Prospecting,18.71,West,Broad Interest
284,2024-01-08,Meta Prospecting,20.41,West,Broad Interest
285,2024-01-08,Meta Prospecting,11.98,South,Advantage+ Shopping
286,2024-01-08,Meta Prospecting,11.31,Midwest,Advantage+ Shopping
287,2024-01-08,Email/Organic,10.95,West,Newsletter
288,2024-01-08,Google Brand,22.87,South,Brand — Phrase
289,2024-01-08,Referral,6.48,Midwest,Influencer Code
290,2024-01-08,TikTok,13.15,Northeast,Trending Sounds
291,2024-01-08,Meta Retargeting,23.71,Midwest,Cart Abandoners
292,2024-01-08,Meta Retargeting,19.78,South,30-Day Site Visitors
293,2024-01-08,Google Brand,26.5,South,Brand — Phrase
294,2024-01-08,Email/Organic,6.39,South,Organic Search
295,2024-01-08,Meta Retargeting,24.71,Northeast,30-Day Site Visitors
296,2024-01-08,Email/Organic,10.62,Midwest,Organic Search
297,2024-01-08,Google Brand,24.99,Midwest,Brand — Phrase
298,2024-01-08,Google Shopping,27.91,South,Performance Max
299,2024-01-08,Google Brand,25.06,West,Brand — Exact
300,2024-01-08,Meta Retargeting,30.68,West,Cart Abandoners
301,2024-01-09,Referral,7.21,Northeast,Friend Referral
302,2024-01-09,Referral,6.31,South,Influencer Code
303,2024-01-09,Referral,9.24,Midwest,Friend Referral
304,2024-01-09,Google Shopping,28.13,South,Standard Shopping
305,2024-01-09,TikTok,18.76,West,Creator UGC
306,2024-01-09,TikTok,15.58,West,Creator UGC
307,2024-01-09,Meta Retargeting,21.61,West,30-Day Site Visitors
308,2024-01-09,TikTok,19.85,South,Trending Sounds
309,2024-01-09,Meta Prospecting,18.93,Midwest,Broad Interest
310,2024-01-09,Email/Organic,10.95,Northeast,Newsletter
311,2024-01-09,Meta Retargeting,24.78,South,Cart Abandoners
312,2024-01-09,Meta Prospecting,13.55,Northeast,Advantage+ Shopping
313,2024-01-09,Meta Prospecting,19.51,West,Lookalike 1%
314,2024-01-09,Email/Organic,9.33,South,Organic Search
315,2024-01-09,Meta Retargeting,28.82,South,30-Day Site Visitors
316,2024-01-09,Email/Organic,7.74,West,Organic Search
317,2024-01-09,Meta Prospecting,15.9,West,Broad Interest
318,2024-01-09,Meta Retargeting,22.35,West,30-Day Site Visitors
319,2024-01-09,Google Shopping,39.11,Northeast,Standard Shopping
320,2024-01-09,TikTok,26.25,Midwest,Creator UGC
321,2024-01-09,Meta Retargeting,22.74,West,30-Day Site Visitors
322,2024-01-09,Email/Organic,7.91,West,Newsletter
323,2024-01-09,Referral,7.97,South,Influencer Code
324,2024-01-09,Email/Organic,12.06,West,Direct
325,2024-01-09,Meta Retargeting,36.27,Northeast,Cart Abandoners
326,2024-01-09,Meta Prospecting,15.57,Northeast,Broad Interest
327,2024-01-09,TikTok,18.29,Northeast,Trending Sounds
328,2024-01-09,Meta Prospecting,19.13,Midwest,Advantage+ Shopping
329,2024-01-09,TikTok,21.47,South,Spark Ads
330,2024-01-09,Google Shopping,29.79,South,Performance Max
331,2024-01-09,Referral,5.77,West,Friend Referral
332,2024-01-09,TikTok,19.85,West,Trending Sounds
333,2024-01-09,Referral,9.76,West,Friend Referral
334,2024-01-09,Google Brand,19.49,Northeast,Brand — Phrase
335,2024-01-09,Email/Organic,9.44,South,Newsletter
336,2024-01-09,Google Brand,34.23,Northeast,Brand — Exact
337,2024-01-09,Google Shopping,27.38,South,Standard Shopping
338,2024-01-09,Email/Organic,10.35,West,Newsletter
339,2024-01-09,TikTok,28.13,Northeast,Creator UGC
340,2024-01-10,TikTok,18.4,South,Creator UGC
341,2024-01-10,TikTok,20.77,South,Spark Ads
342,2024-01-10,Email/Organic,8.05,Northeast,Organic Search
343,2024-01-10,TikTok,20.56,Northeast,Trending Sounds
344,2024-01-10,Email/Organic,9.73,West,Organic Search
345,2024-01-10,Email/Organic,7.96,West,Organic Search
346,2024-01-10,Email/Organic,8.74,Midwest,Organic Search
347,2024-01-10,Email/Organic,4.97,Midwest,Newsletter
348,2024-01-10,Meta Prospecting,11.26,Northeast,Lookalike 1%
349,2024-01-10,Referral,6.37,South,Influencer Code
350,2024-01-10,TikTok,14.59,Midwest,Spark Ads
351,2024-01-10,Meta Prospecting,17.3,Midwest,Broad Interest
352,2024-01-10,TikTok,24.94,West,Trending Sounds
353,2024-01-10,Meta Prospecting,23.19,Northeast,Broad Interest
354,2024-01-10,Meta Retargeting,24.73,Northeast,Cart Abandoners
355,2024-01-10,Email/Organic,6.73,South,Newsletter
356,2024-01-10,Meta Prospecting,13.14,West,Advantage+ Shopping
357,2024-01-10,TikTok,27.3,Northeast,Trending Sounds
358,2024-01-10,TikTok,23.95,West,Trending Sounds
359,2024-01-10,Google Shopping,29.59,West,Performance Max
360,2024-01-10,Meta Prospecting,18.29,South,Advantage+ Shopping
361,2024-01-10,Meta Retargeting,24.69,Northeast,30-Day Site Visitors
362,2024-01-10,Email/Organic,10.0,West,Organic Search
363,2024-01-10,Referral,6.96,Northeast,Influencer Code
364,2024-01-10,Email/Organic,10.4,Northeast,Organic Search
365,2024-01-10,Meta Retargeting,30.13,Midwest,30-Day Site Visitors
366,2024-01-10,Email/Organic,7.13,West,Newsletter
367,2024-01-10,Google Shopping,33.2,Northeast,Performance Max
368,2024-01-10,Email/Organic,11.47,South,Direct
369,2024-01-10,Meta Prospecting,19.95,West,Lookalike 1%
370,2024-01-10,Email/Organic,9.74,South,Direct
371,2024-01-10,Google Shopping,25.83,West,Standard Shopping
372,2024-01-10,Referral,5.86,South,Friend Referral
373,2024-01-10,Meta Retargeting,25.92,West,Cart Abandoners
374,2024-01-10,Email/Organic,7.74,South,Organic Search
375,2024-01-10,Referral,8.53,West,Friend Referral
376,2024-01-10,Meta Prospecting,17.31,South,Lookalike 1%
377,2024-01-10,Referral,5.94,South,Influencer Code
378,2024-01-10,Email/Organic,11.03,Northeast,Newsletter
379,2024-01-10,Meta Prospecting,13.67,Midwest,Lookalike 1%
380,2024-01-10,Meta Retargeting,25.86,West,Cart Abandoners
381,2024-01-11,Email/Organic,7.87,South,Newsletter
382,2024-01-11,Email/Organic,9.23,Northeast,Organic Search
383,2024-01-11,Google Shopping,37.48,South,Standard Shopping
384,2024-01-11,Meta Prospecting,19.59,Midwest,Lookalike 1%
385,2024-01-11,Meta Retargeting,38.48,West,30-Day Site Visitors
386,2024-01-11,Google Shopping,23.96,Midwest,Standard Shopping
387,2024-01-11,Meta Prospecting,15.9,Midwest,Advantage+ Shopping
388,2024-01-11,Google Brand,36.35,Midwest,Brand — Phrase
389,2024-01-11,Meta Prospecting,17.62,West,Advantage+ Shopping
390,2024-01-11,Meta Prospecting,13.53,Midwest,Broad Interest
391,2024-01-11,Google Brand,24.73,West,Brand — Exact
392,2024-01-11,Meta Prospecting,22.32,Midwest,Lookalike 1%
393,2024-01-11,Google Shopping,30.24,Midwest,Performance Max
394,2024-01-11,Email/Organic,5.31,South,Newsletter
395,2024-01-11,TikTok,16.03,Northeast,Trending Sounds
396,2024-01-11,Meta Prospecting,11.82,Midwest,Lookalike 1%
397,2024-01-11,Meta Prospecting,25.93,South,Advantage+ Shopping
398,2024-01-11,Meta Prospecting,11.53,South,Advantage+ Shopping
399,2024-01-11,Email/Organic,7.87,Northeast,Newsletter
400,2024-01-11,Email/Organic,10.06,Midwest,Newsletter
401,2024-01-11,Meta Prospecting,13.03,Midwest,Broad Interest
402,2024-01-11,Referral,7.62,Northeast,Friend Referral
403,2024-01-11,Meta Prospecting,15.28,West,Lookalike 1%
404,2024-01-11,Google Shopping,33.21,South,Performance Max
405,2024-01-11,Email/Organic,8.42,West,Newsletter
406,2024-01-11,TikTok,19.31,South,Creator UGC
407,2024-01-11,Email/Organic,11.1,South,Newsletter
408,2024-01-11,TikTok,14.92,South,Creator UGC
409,2024-01-12,Email/Organic,9.63,West,Newsletter
410,2024-01-12,Meta Retargeting,27.58,South,Cart Abandoners
411,2024-01-12,Email/Organic,7.71,Northeast,Newsletter
412,2024-01-12,Meta Prospecting,20.17,Northeast,Lookalike 1%
413,2024-01-12,Referral,5.59,Northeast,Influencer Code
414,2024-01-12,Google Shopping,30.79,South,Standard Shopping
415,2024-01-12,Meta Retargeting,37.46,Northeast,Cart Abandoners
416,2024-01-12,Meta Prospecting,16.22,Northeast,Broad Interest
417,2024-01-12,Meta Prospecting,18.27,Midwest,Lookalike 1%
418,2024-01-12,Google Shopping,23.66,Midwest,Standard Shopping
419,2024-01-12,Meta Retargeting,29.82,South,Cart Abandoners
420,2024-01-12,TikTok,16.6,Midwest,Trending Sounds
421,2024-01-12,Google Brand,23.44,Northeast,Brand — Exact
422,2024-01-12,Meta Retargeting,31.75,Midwest,30-Day Site Visitors
423,2024-01-12,Email/Organic,8.5,South,Direct
424,2024-01-12,Email/Organic,10.12,South,Newsletter
425,2024-01-12,Meta Prospecting,19.41,South,Lookalike 1%
426,2024-01-12,Meta Prospecting,22.15,Midwest,Broad Interest
427,2024-01-12,Meta Prospecting,20.26,Midwest,Advantage+ Shopping
428,2024-01-12,Email/Organic,11.55,West,Organic Search
429,2024-01-12,Email/Organic,8.48,South,Direct
430,2024-01-12,Google Shopping,22.28,Midwest,Standard Shopping
431,2024-01-12,TikTok,12.77,South,Creator UGC
432,2024-01-12,TikTok,13.17,South,Trending Sounds
433,2024-01-12,Email/Organic,8.4,West,Direct
434,2024-01-12,TikTok,20.75,Midwest,Trending Sounds
435,2024-01-12,Meta Prospecting,15.23,South,Lookalike 1%
436,2024-01-12,Meta Prospecting,9.09,Northeast,Lookalike 1%
437,2024-01-12,Meta Retargeting,22.09,South,Cart Abandoners
438,2024-01-12,Meta Prospecting,16.2,South,Broad Interest
439,2024-01-12,Google Shopping,30.86,South,Standard Shopping
440,2024-01-12,Referral,9.23,South,Friend Referral
441,2024-01-12,Meta Prospecting,10.78,South,Lookalike 1%
442,2024-01-12,Meta Prospecting,20.69,Midwest,Advantage+ Shopping
443,2024-01-12,Google Shopping,34.92,Northeast,Standard Shopping
444,2024-01-12,Referral,6.61,Northeast,Friend Referral
445,2024-01-12,Meta Retargeting,28.24,West,30-Day Site Visitors
446,2024-01-12,Google Shopping,29.71,West,Standard Shopping
447,2024-01-12,Meta Prospecting,20.19,South,Lookalike 1%
448,2024-01-12,Meta Prospecting,14.55,West,Broad Interest
